date,city,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,snow,snowdepth,windgust,windspeed,winddir,cloudcover,visibility,solarradiation,solarenergy,uvindex,conditions,city_id,lon,lat,area,density,no_people
2023-01-13,biała podlaska,0.27781748437058,-0.19463362218750765,0.14035328234502564,0.4428786720752101,0.4428786720752101,0.09496892934957593,0.5490177470726582,0.7967588266257949,-0.2903679867064822,1.3836422786515576,0.07827239560672856,-0.25558061523008474,-0.3219809097811529,-1.638465210757396,-0.5680905120952755,-0.17855976374980703,0.6074588440678712,-1.5108436648847423,-0.6545790722411547,-0.57879930545499,-0.35369489685893296,4,biala_podlaska,52.033333, 23.116667,49.4,1152.06,56942
2023-01-14,biała podlaska,0.4963256181451937,0.2534763451744278,0.28412981547895455,0.7227828396521556,0.7227828396521556,0.7723473138471826,0.7508046994573584,0.6484879870889289,-0.4243505184002598,1.3836422786515576,-0.5717756743671325,-0.25558061523008474,-0.3219809097811529,-0.23307090190830673,-0.7211595955197061,0.5181109957138369,0.0478058559002204,0.9365279622364087,-0.7471776963083384,-0.7104611858686805,-1.4430751791844465,3,biala_podlaska,52.033333, 23.116667,49.4,1152.06,56942
2023-01-15,biała podlaska,-0.11549715642372474,-0.045263633066862465,0.04450226025573992,0.22517543062647466,0.22517543062647466,0.7107674607110366,0.22615862325713787,-0.07938704336478135,0.5135272034561832,0.5600274932366603,-0.5717756743671325,-0.25558061523008474,-0.3219809097811529,1.1212181593462702,0.9347695797082274,0.048027327920406926,0.8073349112706034,0.7426767442466143,-1.0018239124930934,-1.0396158869029066,-0.35369489685893296,2,biala_podlaska,52.033333, 23.116667,49.4,1152.06,56942
2023-01-16,biała podlaska,-0.15919878317864733,0.2534763451744278,-0.003423250788903054,0.0074721891777393985,0.0074721891777393985,-0.24372026289922744,0.10508645182631787,0.2845504718620738,0.17857087422173923,1.0548884777506533,0.7275410314439301,-0.25558061523008474,-0.3219809097811529,-0.3523164796288354,-0.470682913552456,-0.8312658636356488,0.6874092709489633,-0.27504215019980455,1.4751892813040692,1.3302979605435217,1.8250656677920942,2,biala_podlaska,52.033333, 23.116667,49.4,1152.06,56942
2023-01-17,biała podlaska,0.015607723841043778,0.5522163234157182,0.28412981547895455,-0.5212356829120465,-0.5212356829120465,-0.24372026289922744,0.26651601373407796,0.1362796323252078,-0.12288982208926023,1.0548884777506533,0.7275410314439301,-0.25558061523008474,-0.3219809097811529,0.13318337251903148,0.2250856474676842,-1.9270004561901184,0.6007963084944462,0.5003627217593718,-0.26103491995562417,-0.18381366421391854,-0.35369489685893296,2,biala_podlaska,52.033333, 23.116667,49.4,1152.06,56942
2023-01-18,biała podlaska,1.6762695405281074,0.2036863488008796,0.6196083927914551,0.5672805243316303,0.5672805243316303,-0.05898070349078926,-0.015985719604502235,-0.874657909971611,0.14507524129829483,-1.0872020775931348,0.40251699645699945,-0.25558061523008474,-0.3219809097811529,1.3597093147873283,0.6842928977409768,-0.875230523213451,0.1943816385155576,0.6699825375004415,-0.16843629588844064,-0.18381366421391854,-0.35369489685893296,1,biala_podlaska,52.033333, 23.116667,49.4,1152.06,56942
2023-01-19,biała podlaska,-0.5525134239729521,-0.7423235822965399,-0.77023142750319,-1.2365463333864626,-1.2365463333864626,-0.9826785005329801,-1.4688517767743432,-1.4003454319659574,-0.6253243159409261,-1.2533092612062235,-1.2210443102043342,-0.25558061523008474,-0.3219809097811529,-0.5397023874753809,-0.41502142867084446,0.25770493513762077,-0.11875753343538983,0.8880651577389594,1.573575319375452,1.593621721370903,0.7356853854665806,1,biala_podlaska,52.033333, 23.116667,49.4,1152.06,56942
2023-01-13,białystok,-0.2029004099335699,0.10410635605378273,0.09242777130038267,0.34957728288289497,0.34957728288289497,0.002599149645356824,0.7508046994573584,1.1741755090832755,-0.25687235378303774,1.3836422786515576,0.40251699645699945,-0.25558061523008474,-0.3219809097811529,-1.2125881474697933,-0.22020623158520541,-0.29692615492081453,0.9006104092985446,-0.9777528154128088,-1.2391078866652516,-1.3029396477302875,-1.4430751791844465,2,bialystok,53.135278,23.145556,102.13,2872.9,293413
2023-01-14,białystok,0.059309350595966356,0.5024263270421697,0.3320553265235973,0.5050795982034202,0.5050795982034202,0.7415573872791096,0.8718768708881783,0.8237171610870437,-0.45784615132370415,1.0548884777506533,-0.24675163938020203,-0.25558061523008474,-0.3219809097811529,-0.17344811304804209,-0.9716362774869567,0.3523980480744262,0.5008582748930801,0.9365279622364087,-0.7529651103125373,-0.7104611858686805,-0.35369489685893296,2,bialystok,53.135278,23.145556,102.13,2872.9,293413
2023-01-15,białystok,-0.37770691695326103,0.054316359680234294,-0.051348761833546024,0.19407496756236972,0.19407496756236972,0.6183976810068174,0.38758818516489807,0.5541338164745587,0.5135272034561832,1.2175350950384694,-0.24675163938020203,-0.25558061523008474,-0.3219809097811529,1.2063935720037915,0.7260390114021853,-0.08724854770360164,0.9672357650327887,0.16112309027723154,-1.3201316827240372,-1.3687705879371328,-1.4430751791844465,2,bialystok,53.135278,23.145556,102.13,2872.9,293413
